x,y,z,intensity
1.302999973297119141e+00,8.880000114440917969e-01,1.914999961853027344e+00,1.065353216000000000e+09
1.396000027656555176e+00,9.959999918937683105e-01,1.911999940872192383e+00,1.065353216000000000e+09
1.491000056266784668e+00,1.103999972343444824e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.583999991416931152e+00,1.217000007629394531e+00,1.902999997138977051e+00,1.065353216000000000e+09
1.284000039100646973e+00,9.150000214576721191e-01,1.911999940872192383e+00,1.065353216000000000e+09
1.375000000000000000e+00,1.026999950408935547e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.463999986648559570e+00,1.138000011444091797e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.550999999046325684e+00,1.251000046730041504e+00,1.901000022888183594e+00,1.065353216000000000e+09
1.266000032424926758e+00,9.430000185966491699e-01,1.909999966621398926e+00,1.065353216000000000e+09
1.353000044822692871e+00,1.057999968528747559e+00,1.912999987602233887e+00,1.065353216000000000e+09
1.434000015258789062e+00,1.167000055313110352e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.519000053405761719e+00,1.286000013351440430e+00,1.901999950408935547e+00,1.065353216000000000e+09
1.250000000000000000e+00,9.729999899864196777e-01,1.914000034332275391e+00,1.065353216000000000e+09
1.327000021934509277e+00,1.085000038146972656e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.406000018119812012e+00,1.199000000953674316e+00,1.906999945640563965e+00,1.065353216000000000e+09
1.483999967575073242e+00,1.317999958992004395e+00,1.901000022888183594e+00,1.065353216000000000e+09
1.230999946594238281e+00,1.001000046730041504e+00,1.912999987602233887e+00,1.065353216000000000e+09
1.305999994277954102e+00,1.116999983787536621e+00,1.912999987602233887e+00,1.065353216000000000e+09
1.376999974250793457e+00,1.228999972343444824e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.447000026702880859e+00,1.347000002861022949e+00,1.896999955177307129e+00,1.065353216000000000e+09
1.210999965667724609e+00,1.027999997138977051e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.281000018119812012e+00,1.144999980926513672e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.348999977111816406e+00,1.259999990463256836e+00,1.906999945640563965e+00,1.065353216000000000e+09
1.412999987602233887e+00,1.378000020980834961e+00,1.898000001907348633e+00,1.065353216000000000e+09
1.190000057220458984e+00,1.054000020027160645e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.258000016212463379e+00,1.174999952316284180e+00,1.914000034332275391e+00,1.065353216000000000e+09
1.317000031471252441e+00,1.287999987602233887e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.376000046730041504e+00,1.406999945640563965e+00,1.896000027656555176e+00,1.065353216000000000e+09
1.169999957084655762e+00,1.080999970436096191e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.230000019073486328e+00,1.200000047683715820e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.287999987602233887e+00,1.317999958992004395e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.338000059127807617e+00,1.434999942779541016e+00,1.894000053405761719e+00,1.065353216000000000e+09
1.149999976158142090e+00,1.108999967575073242e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.203999996185302734e+00,1.226999998092651367e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.256000041961669922e+00,1.345999956130981445e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.302999973297119141e+00,1.465000033378601074e+00,1.896999955177307129e+00,1.065353216000000000e+09
1.128000020980834961e+00,1.134999990463256836e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.177000045776367188e+00,1.253999948501586914e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.223000049591064453e+00,1.371999979019165039e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.266000032424926758e+00,1.491999983787536621e+00,1.898000001907348633e+00,1.065353216000000000e+09
1.105000019073486328e+00,1.159999966621398926e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.149000048637390137e+00,1.279999971389770508e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.190000057220458984e+00,1.396999955177307129e+00,1.904999971389770508e+00,1.065353216000000000e+09
1.228999972343444824e+00,1.519000053405761719e+00,1.899000048637390137e+00,1.065353216000000000e+09
1.082000017166137695e+00,1.184999942779541016e+00,1.906999945640563965e+00,1.065353216000000000e+09
1.120000004768371582e+00,1.304000020027160645e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.156999945640563965e+00,1.422000050544738770e+00,1.904999971389770508e+00,1.065353216000000000e+09
1.187999963760375977e+00,1.541000008583068848e+00,1.894999980926513672e+00,1.065353216000000000e+09
1.059000015258789062e+00,1.210999965667724609e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.092000007629394531e+00,1.330000042915344238e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.121000051498413086e+00,1.445000052452087402e+00,1.902999997138977051e+00,1.065353216000000000e+09
1.149999976158142090e+00,1.565999984741210938e+00,1.898000001907348633e+00,1.065353216000000000e+09
1.034000039100646973e+00,1.235000014305114746e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.062999963760375977e+00,1.353999972343444824e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.087000012397766113e+00,1.468000054359436035e+00,1.902999997138977051e+00,1.065353216000000000e+09
1.110999941825866699e+00,1.590000033378601074e+00,1.899000048637390137e+00,1.065353216000000000e+09
