x,y,z,intensity
1.993000030517578125e+00,1.021000027656555176e+00,1.906999945640563965e+00,1.065353216000000000e+09
2.147000074386596680e+00,1.072999954223632812e+00,1.904000043869018555e+00,1.065353216000000000e+09
2.315000057220458984e+00,1.131999969482421875e+00,1.901000022888183594e+00,1.065353216000000000e+09
2.486999988555908203e+00,1.199000000953674316e+00,1.899999976158142090e+00,1.065353216000000000e+09
1.973000049591064453e+00,1.062999963760375977e+00,1.907999992370605469e+00,1.065353216000000000e+09
2.127000093460083008e+00,1.121999979019165039e+00,1.906999945640563965e+00,1.065353216000000000e+09
2.283999919891357422e+00,1.182999968528747559e+00,1.898000001907348633e+00,1.065353216000000000e+09
2.454999923706054688e+00,1.256999969482421875e+00,1.899999976158142090e+00,1.065353216000000000e+09
1.952000021934509277e+00,1.103999972343444824e+00,1.907999992370605469e+00,1.065353216000000000e+09
2.096999883651733398e+00,1.166000008583068848e+00,1.904000043869018555e+00,1.065353216000000000e+09
2.263999938964843750e+00,1.238999962806701660e+00,1.904999971389770508e+00,1.065353216000000000e+09
2.424999952316284180e+00,1.315000057220458984e+00,1.901000022888183594e+00,1.065353216000000000e+09
1.927000045776367188e+00,1.144000053405761719e+00,1.906000018119812012e+00,1.065353216000000000e+09
2.073999881744384766e+00,1.213000059127807617e+00,1.906000018119812012e+00,1.065353216000000000e+09
2.230000019073486328e+00,1.287999987602233887e+00,1.901999950408935547e+00,1.065353216000000000e+09
2.392999887466430664e+00,1.373000025749206543e+00,1.902999997138977051e+00,1.065353216000000000e+09
1.906999945640563965e+00,1.185999989509582520e+00,1.909999966621398926e+00,1.065353216000000000e+09
2.046999931335449219e+00,1.258000016212463379e+00,1.906000018119812012e+00,1.065353216000000000e+09
2.194999933242797852e+00,1.335999965667724609e+00,1.899000048637390137e+00,1.065353216000000000e+09
2.355999946594238281e+00,1.427999973297119141e+00,1.901999950408935547e+00,1.065353216000000000e+09
1.884999990463256836e+00,1.228000044822692871e+00,1.911000013351440430e+00,1.065353216000000000e+09
2.015000104904174805e+00,1.299999952316284180e+00,1.902999997138977051e+00,1.065353216000000000e+09
2.168999910354614258e+00,1.389000058174133301e+00,1.904000043869018555e+00,1.065353216000000000e+09
2.319999933242797852e+00,1.483000040054321289e+00,1.902999997138977051e+00,1.065353216000000000e+09
1.856999993324279785e+00,1.264999985694885254e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.991999983787536621e+00,1.348000049591064453e+00,1.907999992370605469e+00,1.065353216000000000e+09
2.132999897003173828e+00,1.435999989509582520e+00,1.901000022888183594e+00,1.065353216000000000e+09
2.276999950408935547e+00,1.534000039100646973e+00,1.899000048637390137e+00,1.065353216000000000e+09
1.830999970436096191e+00,1.304999947547912598e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.960999965667724609e+00,1.391000032424926758e+00,1.906999945640563965e+00,1.065353216000000000e+09
2.098999977111816406e+00,1.485000014305114746e+00,1.901999950408935547e+00,1.065353216000000000e+09
2.243000030517578125e+00,1.588999986648559570e+00,1.902999997138977051e+00,1.065353216000000000e+09
1.804999947547912598e+00,1.343999981880187988e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.934999942779541016e+00,1.437000036239624023e+00,1.911999940872192383e+00,1.065353216000000000e+09
2.068000078201293945e+00,1.536000013351440430e+00,1.906999945640563965e+00,1.065353216000000000e+09
2.198999881744384766e+00,1.638000011444091797e+00,1.899999976158142090e+00,1.065353216000000000e+09
1.776000022888183594e+00,1.379999995231628418e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.901000022888183594e+00,1.478000044822692871e+00,1.909999966621398926e+00,1.065353216000000000e+09
2.020999908447265625e+00,1.575000047683715820e+00,1.898000001907348633e+00,1.065353216000000000e+09
2.157999992370605469e+00,1.690999984741210938e+00,1.901999950408935547e+00,1.065353216000000000e+09
1.753999948501586914e+00,1.424000024795532227e+00,1.912999987602233887e+00,1.065353216000000000e+09
1.868999958038330078e+00,1.521000027656555176e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.986999988555908203e+00,1.623000025749206543e+00,1.901000022888183594e+00,1.065353216000000000e+09
2.117000102996826172e+00,1.743000030517578125e+00,1.904999971389770508e+00,1.065353216000000000e+09
1.725999951362609863e+00,1.462000012397766113e+00,1.914000034332275391e+00,1.065353216000000000e+09
1.830000042915344238e+00,1.557999968528747559e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.950000047683715820e+00,1.669000029563903809e+00,1.902999997138977051e+00,1.065353216000000000e+09
2.069999933242797852e+00,1.789000034332275391e+00,1.902999997138977051e+00,1.065353216000000000e+09
1.692000031471252441e+00,1.495000004768371582e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.799999952316284180e+00,1.600999951362609863e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.909000039100646973e+00,1.712000012397766113e+00,1.902999997138977051e+00,1.065353216000000000e+09
2.022000074386596680e+00,1.833999991416931152e+00,1.901999950408935547e+00,1.065353216000000000e+09
1.662999987602233887e+00,1.531999945640563965e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.761999964714050293e+00,1.638000011444091797e+00,1.906999945640563965e+00,1.065353216000000000e+09
1.868999958038330078e+00,1.754999995231628418e+00,1.902999997138977051e+00,1.065353216000000000e+09
1.975000023841857910e+00,1.878999948501586914e+00,1.901000022888183594e+00,1.065353216000000000e+09
1.631000041961669922e+00,1.567000031471252441e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.725000023841857910e+00,1.675999999046325684e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.827000021934509277e+00,1.797000050544738770e+00,1.904000043869018555e+00,1.065353216000000000e+09
1.929999947547912598e+00,1.927000045776367188e+00,1.904999971389770508e+00,1.065353216000000000e+09
1.598000049591064453e+00,1.600999951362609863e+00,1.906999945640563965e+00,1.065353216000000000e+09
1.690999984741210938e+00,1.717000007629394531e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.784999966621398926e+00,1.838999986648559570e+00,1.904999971389770508e+00,1.065353216000000000e+09
1.873000025749206543e+00,1.963000059127807617e+00,1.898000001907348633e+00,1.065353216000000000e+09
1.570999979972839355e+00,1.641000032424926758e+00,1.912999987602233887e+00,1.065353216000000000e+09
1.651000022888183594e+00,1.751999974250793457e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.736999988555908203e+00,1.873999953269958496e+00,1.901000022888183594e+00,1.065353216000000000e+09
1.828999996185302734e+00,2.010999917984008789e+00,1.904000043869018555e+00,1.065353216000000000e+09
1.531000018119812012e+00,1.669000029563903809e+00,1.904999971389770508e+00,1.065353216000000000e+09
1.615000009536743164e+00,1.791000008583068848e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.697000026702880859e+00,1.917999982833862305e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.776999950408935547e+00,2.051000118255615234e+00,1.904000043869018555e+00,1.065353216000000000e+09
1.501000046730041504e+00,1.705999970436096191e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.575999975204467773e+00,1.828999996185302734e+00,1.912999987602233887e+00,1.065353216000000000e+09
1.652999997138977051e+00,1.957000017166137695e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.723000049591064453e+00,2.088000059127807617e+00,1.902999997138977051e+00,1.065353216000000000e+09
1.467000007629394531e+00,1.740000009536743164e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.534000039100646973e+00,1.860999941825866699e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.603000044822692871e+00,1.990000009536743164e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.674000024795532227e+00,2.130000114440917969e+00,1.906999945640563965e+00,1.065353216000000000e+09
1.432000041007995605e+00,1.773000001907348633e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.495000004768371582e+00,1.896999955177307129e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.559999942779541016e+00,2.030999898910522461e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.618000030517578125e+00,2.164000034332275391e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.398000001907348633e+00,1.807000041007995605e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.450999975204467773e+00,1.927000045776367188e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.506999969482421875e+00,2.058000087738037109e+00,1.904999971389770508e+00,1.065353216000000000e+09
1.560999989509582520e+00,2.197000026702880859e+00,1.904999971389770508e+00,1.065353216000000000e+09
1.363000035285949707e+00,1.840000033378601074e+00,1.914000034332275391e+00,1.065353216000000000e+09
1.409999966621398926e+00,1.962000012397766113e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.457999944686889648e+00,2.092000007629394531e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.509999990463256836e+00,2.236999988555908203e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.324000000953674316e+00,1.870000004768371582e+00,1.914000034332275391e+00,1.065353216000000000e+09
1.365000009536743164e+00,1.990000009536743164e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.409000039100646973e+00,2.125000000000000000e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.453999996185302734e+00,2.270999908447265625e+00,1.912999987602233887e+00,1.065353216000000000e+09
1.284000039100646973e+00,1.896999955177307129e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.322999954223632812e+00,2.025000095367431641e+00,1.914000034332275391e+00,1.065353216000000000e+09
1.358999967575073242e+00,2.155999898910522461e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.394999980926513672e+00,2.296999931335449219e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.248000025749206543e+00,1.929999947547912598e+00,1.914000034332275391e+00,1.065353216000000000e+09
1.279000043869018555e+00,2.055000066757202148e+00,1.914999961853027344e+00,1.065353216000000000e+09
1.307999968528747559e+00,2.186000108718872070e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.335999965667724609e+00,2.325000047683715820e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.207999944686889648e+00,1.957999944686889648e+00,1.912999987602233887e+00,1.065353216000000000e+09
1.233000040054321289e+00,2.081000089645385742e+00,1.912999987602233887e+00,1.065353216000000000e+09
1.258000016212463379e+00,2.216000080108642578e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.276999950408935547e+00,2.351000070571899414e+00,1.909000039100646973e+00,1.065353216000000000e+09
1.167000055313110352e+00,1.983000040054321289e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.189000010490417480e+00,2.112999916076660156e+00,1.917000055313110352e+00,1.065353216000000000e+09
1.205000042915344238e+00,2.242000102996826172e+00,1.911000013351440430e+00,1.065353216000000000e+09
1.220000028610229492e+00,2.381000041961669922e+00,1.912999987602233887e+00,1.065353216000000000e+09
1.129999995231628418e+00,2.016999959945678711e+00,1.917000055313110352e+00,1.065353216000000000e+09
1.141999959945678711e+00,2.138000011444091797e+00,1.914999961853027344e+00,1.065353216000000000e+09
1.151999950408935547e+00,2.267999887466430664e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.161000013351440430e+00,2.407000064849853516e+00,1.914999961853027344e+00,1.065353216000000000e+09
1.083999991416931152e+00,2.036000013351440430e+00,1.909999966621398926e+00,1.065353216000000000e+09
1.092000007629394531e+00,2.158999919891357422e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.098000049591064453e+00,2.292000055313110352e+00,1.911999940872192383e+00,1.065353216000000000e+09
