x,y,z,intensity
-5.177000045776367188e+00,-5.279999971389770508e-01,-6.019999980926513672e-01,1.065353216000000000e+09
-4.794000148773193359e+00,-5.049999952316284180e-01,-3.750000000000000000e-01,1.065353216000000000e+09
-4.484000205993652344e+00,-4.839999973773956299e-01,-1.959999948740005493e-01,1.065353216000000000e+09
-4.237999916076660156e+00,-4.699999988079071045e-01,-3.500000014901161194e-02,1.065353216000000000e+09
-5.159999847412109375e+00,-6.510000228881835938e-01,-6.000000238418579102e-01,1.065353216000000000e+09
-4.785999774932861328e+00,-6.190000176429748535e-01,-3.740000128746032715e-01,1.065353216000000000e+09
-4.500999927520751953e+00,-5.899999737739562988e-01,-1.969999969005584717e-01,1.065353216000000000e+09
-4.228000164031982422e+00,-5.649999976158142090e-01,-3.500000014901161194e-02,1.065353216000000000e+09
-5.164000034332275391e+00,-7.770000100135803223e-01,-6.000000238418579102e-01,1.065353216000000000e+09
-4.796999931335449219e+00,-7.340000271797180176e-01,-3.750000000000000000e-01,1.065353216000000000e+09
-4.484000205993652344e+00,-6.919999718666076660e-01,-1.959999948740005493e-01,1.065353216000000000e+09
-4.232999801635742188e+00,-6.610000133514404297e-01,-3.500000014901161194e-02,1.065353216000000000e+09
-5.153999805450439453e+00,-9.029999971389770508e-01,-5.989999771118164062e-01,1.065353216000000000e+09
-4.793000221252441406e+00,-8.479999899864196777e-01,-3.750000000000000000e-01,1.065353216000000000e+09
-4.466000080108642578e+00,-7.940000295639038086e-01,-1.959999948740005493e-01,1.065353216000000000e+09
-4.241000175476074219e+00,-7.590000033378601074e-01,-3.599999845027923584e-02,1.065353216000000000e+09
-5.146999835968017578e+00,-1.029000043869018555e+00,-5.989999771118164062e-01,1.065353216000000000e+09
-4.789000034332275391e+00,-9.629999995231628418e-01,-3.750000000000000000e-01,1.065353216000000000e+09
-4.491000175476074219e+00,-9.039999842643737793e-01,-1.979999989271163940e-01,1.065353216000000000e+09
-4.232999801635742188e+00,-8.550000190734863281e-01,-3.700000047683715820e-02,1.065353216000000000e+09
-5.168000221252441406e+00,-1.161999940872192383e+00,-6.019999980926513672e-01,1.065353216000000000e+09
-4.795000076293945312e+00,-1.080999970436096191e+00,-3.759999871253967285e-01,1.065353216000000000e+09
-4.508999824523925781e+00,-1.014999985694885254e+00,-1.990000009536743164e-01,1.065353216000000000e+09
-4.245999813079833984e+00,-9.559999704360961914e-01,-3.799999877810478210e-02,1.065353216000000000e+09
-5.157000064849853516e+00,-1.289000034332275391e+00,-6.010000109672546387e-01,1.065353216000000000e+09
-4.775000095367431641e+00,-1.194000005722045898e+00,-3.750000000000000000e-01,1.065353216000000000e+09
-4.493999958038330078e+00,-1.121000051498413086e+00,-1.990000009536743164e-01,1.065353216000000000e+09
-4.250999927520751953e+00,-1.057000041007995605e+00,-3.900000080466270447e-02,1.065353216000000000e+09
-5.149000167846679688e+00,-1.419999957084655762e+00,-6.010000109672546387e-01,1.065353216000000000e+09
-4.788000106811523438e+00,-1.317000031471252441e+00,-3.770000040531158447e-01,1.065353216000000000e+09
-4.504000186920166016e+00,-1.233000040054321289e+00,-2.010000050067901611e-01,1.065353216000000000e+09
-4.247000217437744141e+00,-1.156000018119812012e+00,-3.999999910593032837e-02,1.065353216000000000e+09
