x,y,z,intensity
-7.030000090599060059e-01,-6.959000110626220703e+00,7.034999847412109375e+00,1.065353216000000000e+09
-9.269999861717224121e-01,-6.914000034332275391e+00,7.005000114440917969e+00,1.065353216000000000e+09
-1.146000027656555176e+00,-6.836999893188476562e+00,6.939000129699707031e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
-5.559999942779541016e-01,-6.989999771118164062e+00,7.067999839782714844e+00,1.065353216000000000e+09
-7.779999971389770508e-01,-6.940000057220458984e+00,7.014999866485595703e+00,1.065353216000000000e+09
-1.001999974250793457e+00,-6.922999858856201172e+00,6.992000102996826172e+00,1.065353216000000000e+09
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065353216000000000e+09
-4.110000133514404297e-01,-7.030000209808349609e+00,7.116000175476074219e+00,1.065353216000000000e+09
-6.309999823570251465e-01,-6.995999813079833984e+00,7.059000015258789062e+00,1.065353216000000000e+09
-8.500000238418579102e-01,-6.961999893188476562e+00,7.000000000000000000e+00,1.065353216000000000e+09
-1.075000047683715820e+00,-6.929999828338623047e+00,6.942999839782714844e+00,1.065353216000000000e+09
-2.630000114440917969e-01,-7.054999828338623047e+00,7.151000022888183594e+00,1.065353216000000000e+09
-4.830000102519989014e-01,-7.044000148773193359e+00,7.098000049591064453e+00,1.065353216000000000e+09
-7.039999961853027344e-01,-7.059999942779541016e+00,7.070000171661376953e+00,1.065353216000000000e+09
-9.250000119209289551e-01,-7.024000167846679688e+00,6.989999771118164062e+00,1.065353216000000000e+09
-1.140000000596046448e-01,-7.081999778747558594e+00,7.190999984741210938e+00,1.065353216000000000e+09
-3.319999873638153076e-01,-7.081999778747558594e+00,7.131000041961669922e+00,1.065353216000000000e+09
-5.479999780654907227e-01,-7.098000049591064453e+00,7.083000183105468750e+00,1.065353216000000000e+09
-7.710000276565551758e-01,-7.104000091552734375e+00,7.026000022888183594e+00,1.065353216000000000e+09
3.400000184774398804e-02,-7.102000236511230469e+00,7.225999832153320312e+00,1.065353216000000000e+09
-1.790000051259994507e-01,-7.136000156402587891e+00,7.181000232696533203e+00,1.065353216000000000e+09
-3.930000066757202148e-01,-7.165999889373779297e+00,7.130000114440917969e+00,1.065353216000000000e+09
-6.129999756813049316e-01,-7.191999912261962891e+00,7.072000026702880859e+00,1.065353216000000000e+09
1.840000003576278687e-01,-7.131000041961669922e+00,7.276000022888183594e+00,1.065353216000000000e+09
-2.600000053644180298e-02,-7.171000003814697266e+00,7.216000080108642578e+00,1.065353216000000000e+09
-2.360000014305114746e-01,-7.222000122070312500e+00,7.166999816894531250e+00,1.065353216000000000e+09
-4.510000050067901611e-01,-7.272999763488769531e+00,7.113999843597412109e+00,1.065353216000000000e+09
3.350000083446502686e-01,-7.135000228881835938e+00,7.300000190734863281e+00,1.065353216000000000e+09
