x,y,z,intensity
9.700000286102294922e-02,3.239000082015991211e+00,2.414999961853027344e+00,1.065353216000000000e+09
-3.099999949336051941e-02,3.101000070571899414e+00,2.346999883651733398e+00,1.065353216000000000e+09
-1.400000005960464478e-01,2.980000019073486328e+00,2.305000066757202148e+00,1.065353216000000000e+09
-2.469999939203262329e-01,2.846999883651733398e+00,2.250000000000000000e+00,1.065353216000000000e+09
1.999999955296516418e-02,3.203999996185302734e+00,2.380000114440917969e+00,1.065353216000000000e+09
-1.010000035166740417e-01,3.055999994277954102e+00,2.312000036239624023e+00,1.065353216000000000e+09
-2.029999941587448120e-01,2.930000066757202148e+00,2.269000053405761719e+00,1.065353216000000000e+09
-3.030000030994415283e-01,2.796999931335449219e+00,2.217999935150146484e+00,1.065353216000000000e+09
-5.499999970197677612e-02,3.160000085830688477e+00,2.339999914169311523e+00,1.065353216000000000e+09
-1.679999977350234985e-01,3.003000020980834961e+00,2.269999980926513672e+00,1.065353216000000000e+09
-2.630000114440917969e-01,2.881000041961669922e+00,2.234999895095825195e+00,1.065353216000000000e+09
-3.569999933242797852e-01,2.747999906539916992e+00,2.188999891281127930e+00,1.065353216000000000e+09
-1.280000060796737671e-01,3.114000082015991211e+00,2.301000118255615234e+00,1.065353216000000000e+09
-2.349999994039535522e-01,2.966000080108642578e+00,2.242000102996826172e+00,1.065353216000000000e+09
-3.230000138282775879e-01,2.836999893188476562e+00,2.206000089645385742e+00,1.065353216000000000e+09
-4.090000092983245850e-01,2.694999933242797852e+00,2.157000064849853516e+00,1.065353216000000000e+09
-1.990000009536743164e-01,3.072999954223632812e+00,2.266000032424926758e+00,1.065353216000000000e+09
-2.989999949932098389e-01,2.926000118255615234e+00,2.213999986648559570e+00,1.065353216000000000e+09
-3.799999952316284180e-01,2.785000085830688477e+00,2.171999931335449219e+00,1.065353216000000000e+09
-4.609999954700469971e-01,2.654000043869018555e+00,2.134999990463256836e+00,1.065353216000000000e+09
-2.680000066757202148e-01,3.020999908447265625e+00,2.224999904632568359e+00,1.065353216000000000e+09
-3.610000014305114746e-01,2.878999948501586914e+00,2.180999994277954102e+00,1.065353216000000000e+09
-4.350000023841857910e-01,2.740999937057495117e+00,2.144999980926513672e+00,1.065353216000000000e+09
-5.090000033378601074e-01,2.598999977111816406e+00,2.101999998092651367e+00,1.065353216000000000e+09
-3.359999954700469971e-01,2.976000070571899414e+00,2.190999984741210938e+00,1.065353216000000000e+09
-4.210000038146972656e-01,2.832000017166137695e+00,2.148999929428100586e+00,1.065353216000000000e+09
-4.889999926090240479e-01,2.694000005722045898e+00,2.115999937057495117e+00,1.065353216000000000e+09
-5.559999942779541016e-01,2.549999952316284180e+00,2.075000047683715820e+00,1.065353216000000000e+09
-4.000000059604644775e-01,2.921999931335449219e+00,2.151000022888183594e+00,1.065353216000000000e+09
-4.790000021457672119e-01,2.782000064849853516e+00,2.115999937057495117e+00,1.065353216000000000e+09
-5.429999828338623047e-01,2.651999950408935547e+00,2.092000007629394531e+00,1.065353216000000000e+09
-6.010000109672546387e-01,2.497999906539916992e+00,2.046999931335449219e+00,1.065353216000000000e+09
-4.650000035762786865e-01,2.881000041961669922e+00,2.121999979019165039e+00,1.065353216000000000e+09
-5.370000004768371582e-01,2.740000009536743164e+00,2.089999914169311523e+00,1.065353216000000000e+09
-5.899999737739562988e-01,2.591000080108642578e+00,2.055000066757202148e+00,1.065353216000000000e+09
-6.480000019073486328e-01,2.464999914169311523e+00,2.032999992370605469e+00,1.065353216000000000e+09
-5.279999971389770508e-01,2.838000059127807617e+00,2.092999935150146484e+00,1.065353216000000000e+09
-5.920000076293945312e-01,2.690000057220458984e+00,2.058000087738037109e+00,1.065353216000000000e+09
-6.409999728202819824e-01,2.553999900817871094e+00,2.036000013351440430e+00,1.065353216000000000e+09
-6.899999976158142090e-01,2.414999961853027344e+00,2.006999969482421875e+00,1.065353216000000000e+09
-5.860000252723693848e-01,2.780999898910522461e+00,2.055000066757202148e+00,1.065353216000000000e+09
-6.460000276565551758e-01,2.644000053405761719e+00,2.030999898910522461e+00,1.065353216000000000e+09
-6.880000233650207520e-01,2.505000114440917969e+00,2.007999897003173828e+00,1.065353216000000000e+09
-7.329999804496765137e-01,2.372999906539916992e+00,1.988999962806701660e+00,1.065353216000000000e+09
-6.449999809265136719e-01,2.734999895095825195e+00,2.026000022888183594e+00,1.065353216000000000e+09
-6.959999799728393555e-01,2.591000080108642578e+00,2.000000000000000000e+00,1.065353216000000000e+09
-7.300000190734863281e-01,2.446000099182128906e+00,1.973999977111816406e+00,1.065353216000000000e+09
-7.739999890327453613e-01,2.328999996185302734e+00,1.967000007629394531e+00,1.065353216000000000e+09
-7.009999752044677734e-01,2.684999942779541016e+00,1.995000004768371582e+00,1.065353216000000000e+09
-7.480000257492065430e-01,2.548000097274780273e+00,1.976999998092651367e+00,1.065353216000000000e+09
-7.760000228881835938e-01,2.404000043869018555e+00,1.952999949455261230e+00,1.065353216000000000e+09
-8.119999766349792480e-01,2.279999971389770508e+00,1.944000005722045898e+00,1.065353216000000000e+09
-7.540000081062316895e-01,2.628999948501586914e+00,1.960999965667724609e+00,1.065353216000000000e+09
-7.960000038146972656e-01,2.499000072479248047e+00,1.950000047683715820e+00,1.065353216000000000e+09
-8.209999799728393555e-01,2.364000082015991211e+00,1.934999942779541016e+00,1.065353216000000000e+09
-8.489999771118164062e-01,2.233999967575073242e+00,1.922999978065490723e+00,1.065353216000000000e+09
-8.109999895095825195e-01,2.592000007629394531e+00,1.940999984741210938e+00,1.065353216000000000e+09
-8.420000076293945312e-01,2.447000026702880859e+00,1.921000003814697266e+00,1.065353216000000000e+09
-8.610000014305114746e-01,2.313999891281127930e+00,1.909000039100646973e+00,1.065353216000000000e+09
-8.880000114440917969e-01,2.197000026702880859e+00,1.909000039100646973e+00,1.065353216000000000e+09
-8.600000143051147461e-01,2.535000085830688477e+00,1.909000039100646973e+00,1.065353216000000000e+09
-8.880000114440917969e-01,2.400000095367431641e+00,1.896999955177307129e+00,1.065353216000000000e+09
-9.029999971389770508e-01,2.273000001907348633e+00,1.891999959945678711e+00,1.065353216000000000e+09
-9.250000119209289551e-01,2.157000064849853516e+00,1.893000006675720215e+00,1.065353216000000000e+09
-9.100000262260437012e-01,2.484999895095825195e+00,1.881999969482421875e+00,1.065353216000000000e+09
-9.330000281333923340e-01,2.355000019073486328e+00,1.876000046730041504e+00,1.065353216000000000e+09
-9.440000057220458984e-01,2.232000112533569336e+00,1.873999953269958496e+00,1.065353216000000000e+09
-9.559999704360961914e-01,2.105999946594238281e+00,1.868999958038330078e+00,1.065353216000000000e+09
-9.610000252723693848e-01,2.443000078201293945e+00,1.861999988555908203e+00,1.065353216000000000e+09
-9.760000109672546387e-01,2.305999994277954102e+00,1.851999998092651367e+00,1.065353216000000000e+09
-9.829999804496765137e-01,2.187000036239624023e+00,1.853999972343444824e+00,1.065353216000000000e+09
-9.890000224113464355e-01,2.061000108718872070e+00,1.848999977111816406e+00,1.065353216000000000e+09
-1.004999995231628418e+00,2.384000062942504883e+00,1.830000042915344238e+00,1.065353216000000000e+09
-1.018000006675720215e+00,2.259999990463256836e+00,1.830999970436096191e+00,1.065353216000000000e+09
-1.019999980926513672e+00,2.141999959945678711e+00,1.835000038146972656e+00,1.065353216000000000e+09
-1.021999955177307129e+00,2.019999980926513672e+00,1.833999991416931152e+00,1.065353216000000000e+09
-1.049999952316284180e+00,2.334000110626220703e+00,1.805999994277954102e+00,1.065353216000000000e+09
-1.057000041007995605e+00,2.210000038146972656e+00,1.807999968528747559e+00,1.065353216000000000e+09
-1.054999947547912598e+00,2.095000028610229492e+00,1.814000010490417480e+00,1.065353216000000000e+09
-1.052999973297119141e+00,1.978000044822692871e+00,1.817999958992004395e+00,1.065353216000000000e+09
-1.095999956130981445e+00,2.289000034332275391e+00,1.786000013351440430e+00,1.065353216000000000e+09
-1.097000002861022949e+00,2.164000034332275391e+00,1.787999987602233887e+00,1.065353216000000000e+09
-1.090000033378601074e+00,2.052000045776367188e+00,1.797000050544738770e+00,1.065353216000000000e+09
-1.082999944686889648e+00,1.935999989509582520e+00,1.802000045776367188e+00,1.065353216000000000e+09
-1.139999985694885254e+00,2.242000102996826172e+00,1.766000032424926758e+00,1.065353216000000000e+09
